StageNo,Contribution
Stage 1,Executive Briefing?
Stage 1,Virtual Customer Discovery
Stage 1,Greenhat
Stage 1,Channel 
Stage 1,Engagement Planning
Stage 1,Whitespace?
Stage 2,On-Site Customer Discovery
Stage 2,ADSK Awareness
Stage 2,Partner Co-ordination
Stage 2,On-line Survey & Report-out
Stage 2,Customer Meeting Prep Call
Stage 2,BSM/BID Engagement
Stage 3,Pilot Definition?
Stage 3,Support Customer Success Plan & Implementation Strategy
Stage 3,Product Presentation
Stage 3,Workflow Presentation
Stage 3,Blackhat
Stage 3,Partner Co-ordination & Support in Prep
Stage 4,Technical Partner Check-in
Stage 4,Customer Check-in
Stage 5,Account Review?
